date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
29/04/2020,Jakarta Selatan,PANCORAN,DUREN TIGA,1,1,0,0,0,,
29/04/2020,Jakarta Selatan,PANCORAN,RAWAJATI,1,1,0,0,0,15,15
29/04/2020,Jakarta Selatan,PANCORAN,KALIBATA,2,2,0,0,0,,
29/04/2020,Jakarta Selatan,PESANGGRAHAN,BINTARO,4,7,0,0,0,,
30/04/2020,Jakarta Selatan,KEBAYORAN BARU,GANDARIA UTARA,1,2,0,0,0,30,30
30/04/2020,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,1,1,0,0,0,50,50
1/4/2020,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,4,18,248,817,0,,
6/4/2020,Jakarta Timur,JATINEGARA,CIPINANG MUARA,1,2,0,0,0,,
18/04/2020,Jakarta Timur,JATINEGARA,BIDARA CINA,2,4,49,153,0,,
29/04/2020,Jakarta Timur,JATINEGARA,CIPINANG CEMPEDAK,1,1,0,0,0,15,15
5/4/2020,Jakarta Timur,PASAR REBO,PEKAYON,1,1,0,0,0,30,30
13/04/2020,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,15,15
6/4/2020,Jakarta Timur,CAKUNG,RAWA TERATE,1,1,0,0,0,,
6/4/2020,Jakarta Timur,MAKASAR,CIPINANG MELAYU,2,11,172,476,0,,
30/04/2020,Jakarta Timur,MAKASAR,MAKASAR,6,26,545,1380,0,10,10
