date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
23/02/2020,Jakarta Utara,PENJARINGAN,PENJARINGAN,1,1,0,0,80,20,60
1/2/2020,Jakarta Utara,PENJARINGAN,PLUIT,2,13,0,0,0,10,80
2/2/2020,Jakarta Utara,PADEMANGAN,ANCOL,2,2,0,0,0,15,20
8/2/2020,Jakarta Utara,PADEMANGAN,PADEMANGAN BARAT,1,1,0,0,0,10,30
8/2/2020,Jakarta Utara,PADEMANGAN,PADEMANGAN TIMUR,3,3,0,0,0,15,20
8/2/2020,Jakarta Utara,CILIINCING,ROROTAN,11,12,338,1150,1150,5,110
8/2/2020,Jakarta Utara,CILIINCING,SEMPER BARAT,6,6,172,648,648,10,40
8/2/2020,Jakarta Utara,CILIINCING,SEMPER TIMUR,3,3,50,200,200,10,35
8/2/2020,Jakarta Utara,CILIINCING,SUKAPURA,10,18,175,566,566,10,10
8/2/2020,Jakarta Utara,CILIINCING,CILINCING,3,14,0,0,0,10,40
9/2/2020,Jakarta Utara,CILIINCING,MARUNDA,4,6,230,417,417,5,60
8/2/2020,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,4,6,0,0,0,10,50
1/2/2020,Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,3,9,0,0,0,40,70
1/2/2020,Jakarta Barat,CENGKARENG,DURI KOSAMBI,4,7,0,0,115,10,40
1/2/2020,Jakarta Barat,CENGKARENG,KAPUK,10,33,0,0,400,10,30
1/2/2020,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,7,18,0,0,115,10,50
1/2/2020,Jakarta Barat,CENGKARENG,RAWA BUAYA,9,24,0,0,50,10,50
2/2/2020,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR,3,5,0,0,0,5,20
25/02/2020,Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,1,1,0,0,0,30,50
16/02/2020,Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,2,2,0,0,0,15,25
25/02/2020,Jakarta Barat,GROGOL PETAMBURAN,TOMANG,1,1,0,0,0,30,50
4/2/2020,Jakarta Barat,KALIDERES,KALIDERES,2,2,0,0,0,5,15
20/02/2020,Jakarta Barat,KALIDERES,KAMAL,2,3,0,0,0,5,15
